CITY,DISTRICT,TRANSFORMER,YXRL,CLOSEST_STATION,DELETE,TRANSFORMER_ID
5,0,38,630,59431099999,,5-0-38
5,0,39,4630,59431099999,,5-0-39
5,0,40,630,59431099999,,5-0-40
5,0,41,800,59431099999,,5-0-41
5,1,0,4410,59431099999,,5-1-0
5,1,1,4410,59431099999,,5-1-1
5,1,2,800,59431099999,,5-1-2
5,1,3,630,59431099999,,5-1-3
5,1,4,4410,59431099999,,5-1-4
5,1,5,4410,59431099999,,5-1-5
5,1,6,800,59431099999,,5-1-6
5,1,7,800,59431099999,,5-1-7
5,1,8,800,59431099999,,5-1-8
5,1,9,500,59431099999,,5-1-9
5,1,10,630,59431099999,,5-1-10
5,1,11,800,59431099999,,5-1-11
5,1,12,4410,59431099999,,5-1-12
5,1,13,800,59431099999,,5-1-13
5,1,14,4410,59431099999,,5-1-14
5,2,0,800,59431099999,,5-2-0
5,2,1,800,59431099999,,5-2-1
5,2,2,4800,59431099999,,5-2-2
5,2,3,3200,59431099999,,5-2-3
5,2,4,800,59431099999,,5-2-4
5,2,5,800,59431099999,,5-2-5
5,2,6,800,59431099999,,5-2-6
5,2,7,800,59431099999,,5-2-7
5,2,8,800,59431099999,,5-2-8
5,2,9,800,59431099999,,5-2-9
6,0,0,1000,59632099999,,6-0-0
6,0,1,800,59632099999,,6-0-1
6,0,2,1250,59632099999,,6-0-2
6,0,3,1250,59632099999,,6-0-3
6,0,4,1001,59632099999,,6-0-4
6,0,5,1250,59632099999,,6-0-5
6,0,6,1250,59632099999,,6-0-6
6,0,7,1250,59632099999,,6-0-7
6,0,8,800,59632099999,,6-0-8
6,0,9,800,59632099999,,6-0-9
6,0,10,800,59632099999,,6-0-10
6,0,11,1250,59632099999,,6-0-11
6,0,12,1000,59632099999,,6-0-12
6,0,13,800,59632099999,,6-0-13
6,0,14,1251,59632099999,,6-0-14
6,0,15,800,59632099999,,6-0-15
6,0,16,1000,59632099999,,6-0-16
6,1,0,630,59632099999,,6-1-0
6,1,1,1000,59632099999,,6-1-1
6,1,2,630,59632099999,,6-1-2
6,1,3,629,59632099999,,6-1-3
6,1,4,9370,59632099999,,6-1-4
6,1,5,800,59632099999,,6-1-5
6,1,6,630,59632099999,,6-1-6
6,1,7,9370,59632099999,,6-1-7
6,1,8,630,59632099999,,6-1-8
6,1,9,630,59632099999,,6-1-9
6,1,10,629,59632099999,,6-1-10
6,1,11,630,59632099999,,6-1-11
6,1,12,800,59632099999,1.0,6-1-12
6,1,13,630,59632099999,,6-1-13
6,1,14,630,59632099999,,6-1-14
6,1,15,500,59632099999,1.0,6-1-15
6,1,16,9370,59632099999,,6-1-16
6,1,17,800,59632099999,,6-1-17
6,1,18,9370,59632099999,,6-1-18
6,1,19,9370,59632099999,,6-1-19
6,1,20,800,59632099999,,6-1-20
6,1,21,630,59632099999,,6-1-21
6,1,22,800,59632099999,,6-1-22
6,1,23,630,59632099999,,6-1-23
6,1,24,9370,59632099999,,6-1-24
6,1,25,9370,59632099999,,6-1-25
6,1,26,9370,59632099999,,6-1-26
6,1,27,630,59632099999,,6-1-27
6,1,28,800,59632099999,1.0,6-1-28
6,1,29,9370,59632099999,,6-1-29
6,1,30,800,59632099999,,6-1-30
6,1,31,800,59632099999,,6-1-31
6,1,32,1000,59632099999,,6-1-32
6,1,33,630,59632099999,,6-1-33
6,1,34,800,59632099999,,6-1-34
6,1,35,800,59632099999,,6-1-35
6,1,36,800,59632099999,1.0,6-1-36
6,1,37,1000,59632099999,,6-1-37
6,1,38,800,59632099999,1.0,6-1-38
6,1,39,800,59632099999,,6-1-39
6,1,40,800,59632099999,1.0,6-1-40
6,1,41,630,59632099999,,6-1-41
6,1,42,800,59632099999,,6-1-42
6,1,43,9370,59632099999,,6-1-43
6,1,44,630,59632099999,,6-1-44
6,1,45,800,59632099999,,6-1-45
6,1,46,800,59632099999,,6-1-46
6,1,47,9370,59632099999,,6-1-47
6,1,48,630,59632099999,,6-1-48
6,1,49,629,59632099999,,6-1-49
6,1,50,9370,59632099999,,6-1-50
6,1,51,630,59632099999,,6-1-51
6,1,52,630,59632099999,,6-1-52
6,1,53,800,59632099999,,6-1-53
6,1,54,630,59632099999,,6-1-54
6,1,55,1000,59632099999,1.0,6-1-55
6,1,56,630,59632099999,,6-1-56
